popularity,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre
0,527506,0.778,0.711,-11.367,0.0643,0.352,0.0473,0.969,0.858,108.127,afrobeat
3,336933,0.766,0.375,-13.456,0.0763,0.297,0.862,0.128,0.62,81.626,afrobeat
75,239306,0.829,0.878,-5.951,0.101,0.0959,0.0,0.776,0.883,87.991,afrobeat
49,145880,0.605,0.666,-5.77,0.0413,0.0234,0.647,0.0841,0.0865,100.138,afrobeat
19,355840,0.361,0.31,-12.102,0.0398,0.802,0.687,0.128,0.408,177.659,afrobeat
30,213480,0.6,0.476,-8.558,0.084,0.7,0.00488,0.104,0.572,142.033,afrobeat
34,306750,0.74,0.8,-6.65,0.0422,0.211,0.0969,0.11,0.763,96.998,afrobeat
31,400362,0.531,0.249,-10.041,0.0866,0.759,0.0812,0.0909,0.106,104.039,afrobeat
34,210870,0.806,0.573,-9.905,0.0557,0.317,0.125,0.149,0.696,104.994,afrobeat
29,235567,0.71,0.846,-3.981,0.0479,0.0798,0.00352,0.395,0.505,118.025,afrobeat
35,315600,0.562,0.876,-4.999,0.0356,0.00127,0.00513,0.265,0.547,124.003,afrobeat
33,237026,0.658,0.715,-7.416,0.269,0.0174,0.0,0.307,0.543,189.895,afrobeat
30,232826,0.881,0.834,-5.625,0.175,0.216,3.97e-05,0.127,0.941,94.967,afrobeat
30,311453,0.724,0.902,-6.758,0.0322,0.102,0.000205,0.386,0.385,122.023,afrobeat
32,199095,0.677,0.929,-6.017,0.0418,0.309,0.00129,0.318,0.709,129.996,afrobeat
31,190600,0.649,0.51,-11.928,0.228,0.466,0.00202,0.0983,0.476,174.931,afrobeat
30,213992,0.6,0.65,-16.989,0.0412,0.000416,0.795,0.178,0.868,131.078,afrobeat
31,289947,0.564,0.903,-6.173,0.0786,0.0221,0.00198,0.3,0.568,164.047,afrobeat
33,303213,0.758,0.819,-5.945,0.0528,0.0646,0.000168,0.138,0.827,117.971,afrobeat
31,390280,0.519,0.804,-4.716,0.084,0.696,0.268,0.0947,0.841,104.883,afrobeat
30,295866,0.457,0.231,-17.316,0.0597,0.759,0.523,0.11,0.444,133.083,afrobeat
31,78880,0.588,0.711,-8.105,0.038,0.924,0.00698,0.31,0.951,145.818,afrobeat
31,247226,0.69,0.695,-10.241,0.036,0.0186,0.00351,0.456,0.564,106.032,afrobeat
30,169066,0.715,0.686,-9.727,0.036,0.227,0.657,0.11,0.86,130.945,afrobeat
33,254080,0.463,0.718,-11.202,0.0275,0.205,0.0874,0.0541,0.855,174.112,afrobeat
31,214253,0.523,0.282,-11.418,0.0791,0.776,0.00288,0.0819,0.317,132.44,afrobeat
30,241322,0.716,0.713,-6.294,0.0289,0.41,0.00067,0.153,0.896,119.957,afrobeat
32,179840,0.539,0.968,-5.323,0.0476,0.00049,0.0616,0.169,0.673,98.113,afrobeat
31,217866,0.682,0.703,-6.92,0.0531,0.356,0.00012,0.116,0.575,91.973,afrobeat
35,239920,0.744,0.771,-9.034,0.0892,0.608,0.052,0.103,0.661,149.822,afrobeat
31,227573,0.683,0.862,-4.55,0.0619,0.157,0.00298,0.297,0.609,108.001,afrobeat
31,392638,0.532,0.844,-6.393,0.104,0.18,0.000174,0.0869,0.0822,137.954,afrobeat
31,406573,0.535,0.644,-8.617,0.0442,0.543,0.918,0.0939,0.744,149.872,afrobeat
31,267997,0.713,0.605,-8.45,0.0348,0.733,3.13e-06,0.552,0.885,100.014,afrobeat
30,75026,0.596,0.394,-12.497,0.0334,0.94,0.431,0.321,0.694,97.048,afrobeat
33,303882,0.605,0.708,-5.546,0.0923,0.425,0.0,0.229,0.708,113.755,afrobeat
30,186773,0.718,0.46,-11.107,0.0272,0.646,0.0012,0.123,0.509,95.564,afrobeat
35,223666,0.73,0.775,-8.161,0.0372,0.000472,0.00188,0.0833,0.491,107.153,afrobeat
0,274933,0.469,0.824,-10.785,0.0944,0.478,0.268,0.076,0.781,220.081,afrobeat
0,527506,0.778,0.711,-11.367,0.0643,0.352,0.0473,0.969,0.858,108.127,afrobeat
33,181706,0.657,0.72,-6.375,0.0858,0.00356,0.000948,0.0809,0.413,142.006,afrobeat
32,221506,0.683,0.783,-7.155,0.0438,0.0941,0.84,0.104,0.634,141.94,afrobeat
30,160948,0.777,0.598,-13.803,0.0412,0.023,0.89,0.106,0.684,100.007,afrobeat
30,183159,0.801,0.423,-4.918,0.0703,0.486,0.0106,0.0934,0.468,139.987,afrobeat
0,261640,0.767,0.815,-9.309,0.0397,0.31,0.000122,0.142,0.787,111.992,afrobeat
31,183706,0.824,0.932,-4.664,0.256,0.414,0.0136,0.0594,0.471,105.01,afrobeat
0,274933,0.469,0.824,-10.785,0.0944,0.478,0.268,0.076,0.781,220.081,afrobeat
30,247680,0.438,0.702,-6.294,0.0405,0.587,0.0,0.504,0.249,84.176,afrobeat
0,527506,0.778,0.711,-11.367,0.0643,0.352,0.0473,0.969,0.858,108.127,afrobeat
32,169786,0.758,0.728,-5.127,0.044,0.00343,0.000182,0.294,0.846,120.961,afrobeat
33,260693,0.687,0.876,-6.438,0.0344,0.00421,0.0328,0.139,0.884,126.015,afrobeat
0,527506,0.778,0.711,-11.367,0.0643,0.352,0.0473,0.969,0.858,108.127,afrobeat
45,133053,0.714,0.44,-10.676,0.0953,0.319,0.000148,0.0685,0.532,91.997,afrobeat
16,429973,0.57,0.225,-17.168,0.029,0.306,0.0586,0.0689,0.408,151.78,afrobeat
42,180973,0.605,0.835,-6.477,0.14,0.0764,0.0,0.122,0.903,171.958,afrobeat
27,243560,0.497,0.916,-3.984,0.103,0.0774,1.97e-05,0.0635,0.934,136.705,afrobeat
27,162146,0.742,0.617,-10.134,0.044,0.397,0.888,0.14,0.847,101.999,afrobeat
28,139133,0.716,0.509,-6.926,0.0753,0.683,0.891,0.0884,0.374,170.117,afrobeat
30,261885,0.76,0.649,-9.064,0.0579,0.0417,0.0,0.0825,0.715,105.009,afrobeat
31,247646,0.754,0.818,-7.047,0.0342,0.000998,6.26e-05,0.93,0.78,105.0,afrobeat
27,417600,0.607,0.34,-15.83,0.0486,0.826,0.344,0.0752,0.667,143.074,afrobeat
29,337493,0.501,0.911,-6.49,0.154,0.0342,0.165,0.512,0.724,82.34,afrobeat
30,252600,0.642,0.933,-5.562,0.0431,0.00928,2.31e-05,0.337,0.743,131.982,afrobeat
27,250200,0.555,0.623,-7.464,0.0916,0.258,8.17e-05,0.259,0.464,90.922,afrobeat
28,232826,0.634,0.892,-4.395,0.0519,0.0183,0.000177,0.233,0.648,99.998,afrobeat
32,191472,0.714,0.889,-4.857,0.0367,0.0483,4.02e-05,0.413,0.935,122.757,afrobeat
31,235200,0.735,0.864,-4.801,0.0742,0.00434,0.598,0.765,0.851,90.037,afrobeat
28,247750,0.714,0.532,-9.327,0.0296,0.573,0.0,0.0909,0.795,129.972,afrobeat
29,252573,0.466,0.342,-15.497,0.195,0.746,1.74e-05,0.582,0.628,120.066,afrobeat
28,356800,0.789,0.869,-6.758,0.0482,0.168,0.391,0.0944,0.909,124.947,afrobeat
27,397573,0.604,0.904,-5.338,0.0483,0.0787,0.708,0.144,0.557,92.962,afrobeat
29,217217,0.732,0.613,-8.872,0.0352,0.765,1.16e-06,0.137,0.924,102.481,afrobeat
27,297360,0.646,0.651,-10.789,0.0328,0.0025,0.739,0.17,0.672,133.985,afrobeat
29,219746,0.762,0.858,-4.589,0.0313,0.321,0.0629,0.276,0.836,126.005,afrobeat
28,191466,0.741,0.564,-9.052,0.051,0.225,6.71e-05,0.0964,0.359,117.859,afrobeat
28,286613,0.596,0.686,-7.915,0.103,0.28,0.00969,0.0726,0.729,103.949,afrobeat
26,180480,0.77,0.797,-4.778,0.0345,0.555,0.000122,0.0928,0.964,96.879,afrobeat
30,167717,0.84,0.632,-7.338,0.0599,0.0674,0.0,0.164,0.764,93.985,afrobeat
30,278093,0.783,0.491,-9.672,0.0351,0.044,0.000361,0.147,0.339,134.955,afrobeat
30,220413,0.695,0.514,-9.933,0.0326,0.283,0.00019,0.116,0.439,132.065,afrobeat
26,230635,0.598,0.929,-4.382,0.0629,0.0072,0.406,0.369,0.655,92.603,afrobeat
28,142333,0.738,0.925,-4.205,0.0429,0.0125,0.836,0.153,0.704,131.065,afrobeat
30,198213,0.765,0.912,-3.823,0.153,0.316,1.25e-06,0.0785,0.568,107.999,afrobeat
29,264293,0.833,0.579,-9.205,0.101,0.451,0.294,0.152,0.819,94.008,afrobeat
31,337882,0.75,0.775,-7.086,0.0382,0.00914,0.0061,0.075,0.962,119.982,afrobeat
28,179306,0.39,0.661,-9.916,0.0321,0.61,0.726,0.298,0.205,123.257,afrobeat
30,321666,0.551,0.806,-8.328,0.0558,0.026,0.00122,0.0762,0.671,143.876,afrobeat
28,220306,0.667,0.548,-4.813,0.0298,0.0181,0.739,0.206,0.823,104.668,afrobeat
30,222613,0.747,0.521,-9.483,0.0325,0.638,0.0304,0.118,0.498,120.035,afrobeat
29,158066,0.75,0.855,-4.441,0.0436,0.0789,0.00157,0.0851,0.879,150.03,afrobeat
27,194777,0.714,0.431,-9.564,0.0327,0.781,0.00816,0.116,0.501,125.94,afrobeat
30,358053,0.537,0.744,-7.267,0.0655,0.0896,0.337,0.202,0.826,153.109,afrobeat
27,247693,0.689,0.886,-8.548,0.0462,0.563,0.897,0.0744,0.884,107.983,afrobeat
29,263146,0.603,0.849,-8.917,0.0392,0.1,0.138,0.106,0.674,143.027,afrobeat
28,198720,0.736,0.948,-5.486,0.0443,0.0586,0.694,0.854,0.848,130.013,afrobeat
28,190000,0.718,0.428,-13.17,0.0307,0.676,0.00865,0.159,0.551,139.956,afrobeat
29,434600,0.827,0.359,-12.863,0.0909,0.332,0.703,0.0911,0.684,135.421,afrobeat
28,214266,0.806,0.99,-7.994,0.0455,0.000385,0.509,0.0305,0.921,125.026,afrobeat
30,287533,0.781,0.755,-7.015,0.0395,0.564,0.00267,0.126,0.597,118.168,afrobeat
28,202040,0.51,0.933,-4.89,0.18,0.0185,0.0,0.278,0.789,176.083,afrobeat
30,219826,0.764,0.857,-4.618,0.0323,0.289,0.0528,0.245,0.792,126.009,afrobeat
29,200026,0.552,0.499,-12.078,0.131,0.65,0.0685,0.117,0.665,131.952,afrobeat
55,174826,0.571,0.508,-8.118,0.0254,0.532,0.951,0.161,0.102,96.825,afrobeat
45,224634,0.729,0.866,-5.656,0.193,0.267,0.0,0.146,0.711,131.913,afrobeat
38,158000,0.599,0.499,-14.386,0.196,0.105,0.0,0.0986,0.765,159.915,afrobeat
49,204521,0.699,0.858,-6.603,0.089,0.0332,0.000204,0.0978,0.432,115.113,afrobeat
52,376640,0.547,0.356,-10.199,0.0366,0.954,0.917,0.0891,0.504,81.032,afrobeat
26,163500,0.827,0.604,-8.976,0.244,0.643,1.86e-05,0.163,0.766,140.923,afrobeat
25,211850,0.795,0.598,-7.021,0.0329,0.312,0.00807,0.0552,0.883,108.992,afrobeat
25,180000,0.655,0.774,-5.295,0.171,0.0283,0.00235,0.0651,0.462,192.004,afrobeat
27,188133,0.701,0.718,-5.677,0.0301,0.00647,0.0,0.173,0.608,93.028,afrobeat
26,168560,0.353,0.721,-6.3,0.129,0.0643,0.344,0.112,0.652,170.026,afrobeat
24,158040,0.73,0.646,-6.751,0.0345,0.669,0.00171,0.0866,0.938,98.012,afrobeat
26,187500,0.746,0.828,-6.568,0.0409,0.113,0.0028,0.0635,0.31,104.974,afrobeat
25,237613,0.498,0.695,-6.89,0.0335,0.055,9.9e-06,0.126,0.59,175.815,afrobeat
27,190000,0.706,0.608,-8.304,0.031,0.227,4.36e-05,0.112,0.215,120.407,afrobeat
27,105438,0.667,0.218,-10.563,0.0351,0.941,1.45e-06,0.191,0.224,113.842,afrobeat
25,166373,0.725,0.611,-7.218,0.128,0.086,0.0,0.504,0.415,101.012,afrobeat
25,183213,0.587,0.686,-5.113,0.122,0.00428,0.00705,0.0428,0.71,183.938,afrobeat
27,255761,0.681,0.579,-6.141,0.0434,0.212,0.0,0.333,0.588,120.037,afrobeat
25,207307,0.893,0.728,-7.742,0.0893,0.327,0.000288,0.041,0.924,94.067,afrobeat
24,167217,0.553,0.773,-6.446,0.0343,0.173,0.865,0.185,0.597,96.617,afrobeat
26,220320,0.784,0.597,-6.307,0.068,0.685,0.000273,0.11,0.961,81.984,afrobeat
26,177453,0.668,0.874,-2.771,0.0731,0.587,0.0,0.109,0.836,107.346,afrobeat
27,134008,0.719,0.202,-9.86,0.0593,0.819,0.000266,0.0692,0.806,75.073,afrobeat
24,235560,0.756,0.652,-5.466,0.0501,0.742,8.49e-06,0.079,0.697,115.83,afrobeat
25,227640,0.827,0.603,-5.248,0.0354,0.552,0.000798,0.214,0.83,144.001,afrobeat
26,193893,0.893,0.671,-8.777,0.0619,0.646,0.2,0.117,0.933,99.998,afrobeat
24,73293,0.596,0.358,-13.075,0.0366,0.221,0.00233,0.19,0.606,81.112,afrobeat
26,228413,0.707,0.283,-16.795,0.0652,0.848,0.00054,0.339,0.796,79.771,afrobeat
27,197506,0.608,0.706,-10.1,0.138,0.00226,0.000728,0.329,0.504,177.914,afrobeat
28,268580,0.738,0.868,-5.411,0.061,0.00763,0.0638,0.0844,0.802,119.988,afrobeat
26,311453,0.698,0.542,-5.923,0.0276,0.639,0.000261,0.104,0.724,88.058,afrobeat
26,234626,0.762,0.902,-4.341,0.0507,0.0256,3.93e-05,0.198,0.882,133.984,afrobeat
27,258104,0.776,0.793,-7.276,0.16,0.0702,7.82e-06,0.288,0.771,112.003,afrobeat
29,249520,0.732,0.825,-7.509,0.0453,0.0707,0.00598,0.204,0.79,117.893,afrobeat
25,387165,0.695,0.895,-8.202,0.048,0.116,0.734,0.311,0.962,120.069,afrobeat
27,253293,0.686,0.212,-16.961,0.0495,0.791,5.73e-05,0.288,0.189,134.12,afrobeat
27,95733,0.443,0.453,-9.763,0.12,0.532,0.0,0.167,0.477,93.877,afrobeat
28,252106,0.609,0.92,-4.989,0.034,0.00647,0.143,0.194,0.661,133.924,afrobeat
25,479053,0.802,0.702,-7.722,0.0525,0.229,0.581,0.173,0.855,113.073,afrobeat
27,319026,0.486,0.803,-6.157,0.0363,7.89e-05,0.854,0.222,0.253,105.904,afrobeat
26,66706,0.474,0.625,-6.241,0.0443,0.87,0.00138,0.237,0.553,108.396,afrobeat
28,126120,0.742,0.939,-4.784,0.106,0.363,0.00604,0.157,0.965,154.955,afrobeat
28,174680,0.736,0.938,-4.176,0.156,0.168,5.29e-05,0.215,0.561,104.981,afrobeat
28,262480,0.555,0.665,-10.47,0.0622,0.0352,0.596,0.116,0.399,178.064,afrobeat
28,258160,0.583,0.932,-7.734,0.0762,0.00208,0.0119,0.0674,0.492,96.899,afrobeat
27,232773,0.737,0.571,-6.756,0.0303,0.0585,0.000707,0.126,0.655,119.054,afrobeat
25,175866,0.778,0.243,-15.168,0.0596,0.64,0.00204,0.0823,0.714,166.027,afrobeat
26,210266,0.594,0.305,-12.028,0.0482,0.718,0.0231,0.108,0.694,166.7,afrobeat
27,167493,0.591,0.748,-7.136,0.0292,0.0679,0.837,0.286,0.961,127.636,afrobeat
29,274346,0.731,0.747,-6.612,0.0305,0.0136,0.0301,0.09,0.962,125.98,afrobeat
44,124840,0.631,0.502,-10.195,0.242,0.835,3.75e-05,0.155,0.776,156.183,afrobeat
48,655440,0.439,0.475,-12.559,0.0361,0.449,0.253,0.0903,0.428,111.717,afrobeat
55,162266,0.628,0.585,-8.036,0.0421,0.147,0.927,0.0465,0.618,100.95,afrobeat
53,436840,0.588,0.576,-6.945,0.0367,0.218,0.0357,0.172,0.66,129.155,afrobeat
24,203000,0.868,0.367,-13.304,0.039,0.303,0.0066,0.0895,0.522,130.038,afrobeat
23,238293,0.538,0.533,-12.113,0.0518,0.0184,0.0133,0.109,0.365,74.973,afrobeat
24,220800,0.772,0.33,-9.51,0.0342,0.886,0.001,0.136,0.472,124.041,afrobeat
24,237584,0.547,0.627,-7.311,0.0359,0.0513,0.00145,0.112,0.615,174.967,afrobeat
25,300973,0.641,0.884,-5.472,0.0602,0.0567,0.0,0.0219,0.883,104.962,afrobeat
25,224000,0.704,0.692,-6.2,0.186,0.223,0.0,0.0796,0.614,92.527,afrobeat
25,175026,0.561,0.346,-17.938,0.0555,0.701,0.0129,0.0922,0.775,112.232,afrobeat
22,201116,0.568,0.901,-5.337,0.0983,0.0894,0.000215,0.184,0.745,78.567,afrobeat
25,322700,0.683,0.536,-8.362,0.0465,0.115,0.692,0.179,0.845,83.986,afrobeat
25,37702,0.549,0.489,-13.621,0.0458,0.35,0.926,0.122,0.648,77.593,afrobeat
25,250080,0.659,0.74,-6.524,0.198,0.108,0.0,0.115,0.91,190.001,afrobeat
24,166866,0.776,0.788,-7.785,0.18,0.0732,0.0578,0.0773,0.871,99.91,afrobeat
23,261240,0.595,0.633,-9.633,0.165,0.0172,0.209,0.0911,0.888,146.919,afrobeat
48,591693,0.641,0.926,-7.718,0.0572,0.11,0.0246,0.09,0.883,90.934,afrobeat
56,251400,0.815,0.602,-10.192,0.196,0.3,0.00548,0.0737,0.805,109.704,afrobeat
25,217674,0.699,0.62,-4.885,0.185,0.0887,0.0,0.17,0.311,158.04,afrobeat
26,416040,0.49,0.82,-7.138,0.0684,0.799,0.0558,0.131,0.854,102.572,afrobeat
27,227826,0.726,0.871,-4.826,0.111,0.0714,7.87e-06,0.157,0.773,175.999,afrobeat
25,169800,0.786,0.729,-8.323,0.0425,0.0484,0.844,0.151,0.907,100.995,afrobeat
26,198773,0.669,0.843,-5.726,0.03,0.0641,0.000297,0.109,0.842,131.461,afrobeat
23,203646,0.525,0.424,-9.356,0.101,0.00552,0.0044,0.062,0.631,203.01,afrobeat
25,173071,0.821,0.779,-4.283,0.113,0.0976,0.0,0.0659,0.464,105.003,afrobeat
24,262731,0.868,0.793,-3.828,0.0315,0.255,1.31e-06,0.0884,0.972,121.977,afrobeat
